"パケット","シーケンス","間隔 (ms)","ジッタ (ms)","Skew","帯域","マーカー","状態"
"127.0.0.1:6000 → 127.0.0.1:6000 (0xca110000)"
357,174,16.039000000000215,6.366642686314992,0.08399999999983265,81.6,"","OK"
360,175,16.001999999999953,6.218602518420308,4.08199999999988,81.6,"","OK"
361,176,15.414000000000215,6.116564861019025,8.667999999999665,81.6,"","OK"
363,177,32.009000000000015,6.484842057205337,-3.3410000000003492,81.6,"","OK"
365,178,14.917999999999665,6.397164428630024,1.7409999999999854,81.6,"","OK"
367,179,14.99499999999989,6.3101541518406545,6.746000000000095,81.6,"","OK"
369,180,31.865000000000236,6.657332017350629,-5.119000000000142,80,"","OK"
371,181,16.040999999999713,6.488686266266233,-1.1599999999998545,81.6,"","OK"
374,182,15.952000000000226,6.336143374624579,2.88799999999992,81.6,"","OK"
375,183,15.963000000000193,6.192446913710531,6.924999999999727,81.6,"","OK"
377,184,31.894999999999982,6.548856481603622,-4.970000000000255,81.6,"","OK"
379,185,14.934999999999945,6.456115451503399,0.09499999999979991,81.6,"","OK"
381,186,15.93899999999985,6.306420735784446,4.155999999999949,81.6,"","OK"
383,187,16.009000000000015,6.161706939797917,8.146999999999935,81.6,"","OK"
386,188,32.064000000000306,6.530600256060566,-3.917000000000371,80,"","OK"
388,189,15.835000000000036,6.382750240056779,0.24799999999959255,80,"","OK"
389,190,14.961999999999534,6.298703350053259,5.286000000000058,80,"","OK"
391,191,29.853000000000065,6.520846890674934,-4.567000000000007,81.6,"","OK"
393,192,14.940000000000055,6.429543960007748,0.49299999999993815,81.6,"","OK"
395,193,16.001000000000204,6.277634962507251,4.491999999999734,81.6,"","OK"
397,194,15.927999999999884,6.139782777350555,8.56399999999985,81.6,"","OK"
399,195,30.134999999999764,6.38948385376613,-1.5709999999999127,81.6,"","OK"
401,196,16.225000000000364,6.226078612905724,2.2039999999997235,81.6,"","OK"
403,197,15.496000000000095,6.11844869959911,6.707999999999629,81.6,"","OK"
405,198,31.59599999999955,6.460795655874137,-4.88799999999992,80,"","OK"
407,199,16.12900000000036,6.298933427381981,-1.0170000000002801,81.6,"","OK"
409,200,15.491999999999734,6.187000088170624,3.4909999999999854,81.6,"","OK"
411,201,15.315000000000055,6.093125082659957,8.17599999999993,81.6,"","OK"
413,202,31.02500000000009,6.4013672649937154,-2.84900000000016,81.6,"","OK"
415,203,15.903999999999996,6.257281810931609,1.2469999999998436,80,"","OK"
417,204,15.295000000000073,6.160264197748379,5.951999999999771,81.6,"","OK"
419,205,31.351000000000113,6.484685185389141,-5.399000000000342,81.6,"","OK"
421,206,15.581000000000131,6.355579861302312,-0.9800000000004729,81.6,"","OK"
423,207,15.818999999999505,6.219668619970948,3.201000000000022,81.6,"","OK"
425,208,16.1850000000004,6.069376831222739,7.015999999999622,80,"","OK"
427,209,30.195999999999913,6.327290779271312,-3.180000000000291,81.6,"","OK"
429,210,15.534999999999854,6.210897605566864,1.2849999999998545,81.6,"","OK"
431,211,15.181999999999789,6.123841505218948,6.1030000000000655,81.6,"","OK"
433,212,31.095000000000255,6.43453891114278,-4.992000000000189,80,"","OK"
435,213,14.958999999999833,6.347442729196366,0.04899999999997817,81.6,"","OK"
437,214,15.402000000000044,6.238102558621591,4.6469999999999345,81.6,"","OK"
440,215,30.60400000000027,6.510971148707759,-5.957000000000335,80,"","OK"
441,216,15.864999999999782,6.362472951913538,-1.8220000000001164,81.6,"","OK"
443,217,15.975000000000364,6.216380892418919,2.20299999999952,81.6,"","OK"
445,218,14.922999999999774,6.1451695866427505,7.279999999999745,81.6,"","OK"
448,219,31.96100000000024,6.5086589874775935,-4.681000000000495,81.6,"","OK"
449,220,14.85399999999936,6.423492800760284,0.4650000000001455,81.6,"","OK"
451,221,16.007000000000517,6.271587000712734,4.457999999999629,81.6,"","OK"
454,222,29.951999999999316,6.501612813168146,-5.493999999999687,80,"","OK"
455,223,15.181000000000495,6.3964495123451055,-0.6750000000001819,81.6,"","OK"
457,224,16.10199999999986,6.240296417823545,3.2229999999999563,81.6,"","OK"
459,225,15.097999999999956,6.156652891709577,8.125,81.6,"","OK"
462,226,31.194000000000415,6.4714870859777545,-3.0690000000004147,80,"","OK"
463,227,14.799999999999272,6.39201914310419,2.131000000000313,81.6,"","OK"
465,228,15.917000000000371,6.247705446660155,6.213999999999942,81.6,"","OK"
467,229,31.35400000000027,6.5668488562439125,-5.140000000000327,80,"","OK"
469,230,15.90899999999965,6.41210830272869,-1.0489999999999782,81.6,"","OK"
471,231,15.832000000000335,6.271851533808126,3.118999999999687,81.6,"","OK"
473,232,15.23700000000008,6.177548312945113,7.881999999999607,81.6,"","OK"
476,233,30.894999999999527,6.4723890433860145,-3.01299999999992,80,"","OK"
478,234,15.092999999999847,6.374552228174398,1.8940000000002328,81.6,"","OK"
479,235,15.07300000000032,6.284080213913478,6.820999999999913,81.6,"","OK"
482,236,30.75,6.563200200543886,-3.9290000000000873,80,"","OK"
483,237,15.125,6.457687688009893,0.9459999999999127,80,"","OK"
485,238,15.75799999999981,6.319207207509286,5.188000000000102,81.6,"","OK"
488,239,30.934000000000196,6.607631757039968,-5.746000000000095,80,"","OK"
489,240,15.023000000000138,6.505717272224961,-0.7690000000002328,80,"","OK"
491,241,15.266999999999825,6.394922442710913,3.963999999999942,81.6,"","OK"
493,242,16.085000000000036,6.239927290041479,7.878999999999905,81.6,"","OK"
495,243,31.167999999999665,6.547931834413865,-3.28899999999976,80,"","OK"
497,244,14.807000000000698,6.463248594762955,1.9039999999995416,80,"","OK"
499,245,15.130999999999403,6.363608057590308,6.773000000000138,81.6,"","OK"
501,246,31.163000000000466,6.663570053990942,-4.390000000000327,80,"","OK"
503,247,15.564000000000306,6.52434692561649,0.04599999999936699,80,"","OK"
505,248,15.131999999999607,6.420825242765484,4.91399999999976,81.6,"","OK"
508,249,30.929000000000087,6.702586165092646,-6.015000000000327,80,"","OK"
509,250,14.95299999999952,6.599112029774386,-0.9679999999998472,80,"","OK"
511,251,16.016999999999825,6.435605027913498,3.0150000000003274,80,"","OK"
513,252,14.952000000000226,6.34887971366889,8.063000000000102,81.6,"","OK"
516,253,30.916000000000167,6.634324731564595,-2.8530000000000655,80,"","OK"
517,254,14.935999999999694,6.536179435841827,2.21100000000024,80,"","OK"
519,255,15.56500000000051,6.404855721101681,6.645999999999731,81.6,"","OK"
521,256,30.985999999999876,6.691177238532818,-4.3400000000001455,80,"","OK"
523,257,15.497999999999593,6.5543536611245425,0.16200000000026193,80,"","OK"
525,258,15.73700000000008,6.411144057304254,4.425000000000182,80,"","OK"
527,259,15.307999999999993,6.303697553722738,9.11700000000019,81.6,"","OK"
530,260,30.837000000000444,6.587028956615095,-1.7200000000002547,80,"","OK"
531,261,15.037999999999556,6.485464646826679,3.242000000000189,80,"","OK"
533,262,15.498000000000502,6.36149810639998,7.743999999999687,81.6,"","OK"
535,263,31.333999999999833,6.6722794747499705,-3.5900000000001455,80,"","OK"
537,264,15.462999999999738,6.538824507578114,0.9470000000001164,80,"","OK"
539,265,15.413000000000466,6.416835475854453,5.533999999999651,81.6,"","OK"
541,266,30.735999999999876,6.686783258613541,-5.2020000000002256,80,"","OK"
544,267,15.759000000000015,6.533921804950194,-0.9610000000002401,80,"","OK"
